M_initial,M_final
1.0,0.51930
1.1,0.53081
1.2,0.53704
1.3,0.54466
1.4,0.54901
1.5,0.55167
1.6,0.55504
1.7,0.55752
1.8,0.56023
1.9,0.56151
2.0,0.56511
2.1,0.57052
2.2,0.57587
2.3,0.58169
2.4,0.58767
2.5,0.59368
2.6,0.60070
2.7,0.60851
2.8,0.61822
2.9,0.63333
3.0,0.64501
3.1,0.66046
3.2,0.67939
3.3,0.69884
3.4,0.71665
3.5,0.73877
3.6,0.76393
3.7,0.78475
3.8,0.80482
3.9,0.81627
4.0,0.82450
4.1,0.83148
4.2,0.83756
4.3,0.84277
4.4,0.84906
4.5,0.85506
4.6,0.86347
4.7,0.86618
4.8,0.87511
4.9,0.89163
5.0,0.89634
5.1,0.89372
5.2,0.90169
5.3,0.91062
5.4,0.91919
5.5,0.93076
5.6,0.94242
5.7,0.95617
5.9,0.95933
6.0,0.96939
