Gaia G,Gaia BP,Gaia RP,SDSS u,SDSS g,SDSS r,SDSS i,SDSS z,PanSTARR g,PanSTARR r,PanSTARR i,PanSTARR z,PanSTARR y,SkyMap u,SkyMap V,SkyMap g,SkyMap r,SkyMap i,SkyMap z,2MASS J,2MASS H,2MASS Ks,APASS V,APASS g,APASS r,APASS i,APASS B,Teff,Logg
7.808555833179023e-09,3.6415758667308653e-09,1.4801797576365264e-08,4.2166719907240065e-11,1.8802522435737503e-09,7.977733013509288e-09,1.3977662122338228e-08,1.9316036700561704e-08,2.3475238628893245e-09,8.044411874982655e-09,1.4175395485083164e-08,1.880800808060628e-08,2.081280166245218e-08,2.3701698241912745e-11,1.4203202142970644e-10,3.1138978970435435e-09,7.686860467569995e-09,1.5154315607228995e-08,1.951818654895642e-08,6.235191386612077e-09,1.6923302471438593e-09,6.905796817041959e-10,4.648330379498343e-09,1.8802522435737503e-09,7.977733013509288e-09,1.3977662122338228e-08,8.130316673850235e-10,3000.0,6.25
8.070990809808407e-09,3.801018137446519e-09,1.5215321440888706e-08,4.178338605909266e-11,1.968310547037668e-09,8.307253320187046e-09,1.4397805023367755e-08,1.9725775931011422e-08,2.458066825732448e-09,8.372452621475883e-09,1.4598236594753894e-08,1.9256923473664365e-08,2.1113710459886414e-08,2.2517361933285873e-11,1.4559148413817715e-10,3.258990470110319e-09,8.001682946118081e-09,1.558826396008806e-08,1.987034156278315e-08,5.145939104593481e-09,1.4464826150180107e-09,5.988920330030358e-10,4.86636169434074e-09,1.968310547037668e-09,8.307253320187046e-09,1.4397805023367755e-08,8.467782189946763e-10,3000.0,6.5
8.317022764906846e-09,3.951434936770927e-09,1.5599651688161097e-08,4.0856722889284334e-11,2.0494369487466743e-09,8.618608090068921e-09,1.4795110606043564e-08,2.0100028400592454e-08,2.5613810804021367e-09,8.681806037465188e-09,1.4997530914909164e-08,1.9666803280044048e-08,2.1387462209798666e-08,2.1168167738150124e-11,1.4713965845965177e-10,3.395551133885216e-09,8.29927839790579e-09,1.5995480501530325e-08,2.0194198799774162e-08,4.342853099400413e-09,1.187781547520537e-09,4.985437645459375e-10,5.073378189534728e-09,2.0494369487466743e-09,8.618608090068921e-09,1.4795110606043564e-08,8.7662750261241e-10,3000.0,6.75
8.527059851110208e-09,4.078302635799467e-09,1.5926984268084094e-08,3.9718097512545154e-11,2.1137858087213125e-09,8.887543184677879e-09,1.514116993006536e-08,2.0400321262369442e-08,2.645238118826505e-09,8.949596281122318e-09,1.534477448535108e-08,2.0009289196192392e-08,2.1569166022758438e-08,1.954016317713481e-11,1.4797168989116902e-10,3.5090642035312162e-09,8.557039093369541e-09,1.634649901033611e-08,2.0434299839285546e-08,3.405131091030822e-09,9.708420105998213e-10,4.294965778463178e-10,5.251417821436e-09,2.1137858087213125e-09,8.887543184677879e-09,1.514116993006536e-08,8.975502402666084e-10,3000.0,7.0
8.720420828986457e-09,4.194731356596435e-09,1.6226055099684254e-08,3.7313372280076557e-11,2.174272033251359e-09,9.133157053410058e-09,1.5462259142423094e-08,2.066768241872744e-08,2.724437770971669e-09,9.196092996706403e-09,1.5666301991615002e-08,2.031198888293002e-08,2.1736243931951224e-08,1.747152690783433e-11,1.4523887735886892e-10,3.615705316161261e-09,8.795274907090301e-09,1.6668288233105704e-08,2.0654685227807146e-08,2.7785345236069366e-09,8.237746993459394e-10,3.604739966842676e-10,5.419602914596808e-09,2.174272033251359e-09,9.133157053410058e-09,1.5462259142423094e-08,9.151942003931876e-10,3000.0,7.25
8.859037594877513e-09,4.281064798745116e-09,1.643314598091745e-08,3.583183004246304e-11,2.218637362273347e-09,9.316248502299878e-09,1.5690440713254186e-08,2.0826552344791148e-08,2.7831319501507366e-09,9.380205992492954e-09,1.5893940697926595e-08,2.0503499394075136e-08,2.180173706880907e-08,1.6062086340389807e-11,1.435966554743931e-10,3.6945663224716836e-09,8.973238704008178e-09,1.6891753567300228e-08,2.0772392179096142e-08,2.2747046853771064e-09,6.844228501575573e-10,3.1649359716772114e-10,5.544860619459283e-09,2.218637362273347e-09,9.316248502299878e-09,1.5690440713254186e-08,9.26900579260676e-10,3000.0,7.5
8.93460051103484e-09,4.337549934282432e-09,1.652737954295613e-08,3.634612145652815e-11,2.2575456061827927e-09,9.420122253613996e-09,1.580267466860491e-08,2.0864376598652204e-08,2.829546551328551e-09,9.484067533462059e-09,1.6004833415272633e-08,2.0567339004819022e-08,2.1765154247162443e-08,1.5715919345814224e-11,1.4813487637473911e-10,3.749490527866771e-09,9.074052553838073e-09,1.6995004768897803e-08,2.0778073628405938e-08,1.9023457285751743e-09,6.472358711111805e-10,3.023882176888522e-10,5.621064836734273e-09,2.2575456061827927e-09,9.420122253613996e-09,1.580267466860491e-08,9.455009067967849e-10,3000.0,7.75
8.920936741620703e-09,4.331592875034906e-09,1.649491282323679e-08,3.4874780181538904e-11,2.242642932334952e-09,9.43263503361935e-09,1.5785445157413068e-08,2.0774224385942446e-08,2.813056198192873e-09,9.493843469351225e-09,1.5985244195360333e-08,2.0485117509780197e-08,2.165125080392825e-08,1.4447773862341343e-11,1.4647728658803238e-10,3.733794044065939e-09,9.079782458213232e-09,1.6963172286430103e-08,2.0684566505166695e-08,2.052756223730739e-09,6.290660653753438e-10,3.0804658139830385e-10,5.609296784520976e-09,2.242642932334952e-09,9.43263503361935e-09,1.5785445157413068e-08,9.336323252677831e-10,3000.0,8.0
8.82211971119992e-09,4.26753018788273e-09,1.6339445709657598e-08,3.939756411304707e-11,2.171983074914009e-09,9.358819856344807e-09,1.564261268070317e-08,2.0561693139326465e-08,2.7334155278911903e-09,9.416821427690204e-09,1.5839350983622823e-08,2.0265816974886938e-08,2.1457764687579356e-08,1.788716591500521e-11,1.5326864674539759e-10,3.650320650637286e-09,8.999176189496042e-09,1.6801833959624292e-08,2.049430048807003e-08,2.118085760208229e-09,7.145743881050424e-10,3.7102538774305197e-10,5.512724970663277e-09,2.171983074914009e-09,9.358819856344807e-09,1.564261268070317e-08,9.004503463898978e-10,3000.0,8.25
8.764754821050692e-09,4.215395182944962e-09,1.6287425759769203e-08,3.546633939937405e-11,2.1454252104876805e-09,9.254248699961696e-09,1.557050624019619e-08,2.057393653045931e-08,2.6997565542819223e-09,9.31424056703827e-09,1.576956918753807e-08,2.027005554942575e-08,2.1493776693069296e-08,1.5784448913773558e-11,1.4134561923482667e-10,3.605705065047494e-09,8.900528926925804e-09,1.674450681495086e-08,2.0506335940075535e-08,2.163860321750552e-09,8.102200590592671e-10,3.732547064082685e-10,5.442254682633955e-09,2.1454252104876805e-09,9.254248699961696e-09,1.557050624019619e-08,8.844585990852664e-10,3000.0,8.5
