exoplanet_name,wd_source_id,ms_source_id,finding_chart,wd_ra,wd_dec,wd_plx,wd_e_plx,ms_plx,ms_e_plx,wtd_plx,wtd_e_plx,wd_catalog_mass,catalog_age,dissertation_age,in_catalog,in_kareems_catalog,in_dissertation,wd_ruwe,wd_bp_rp_excess,R_chance_align,flux_leakage,notes
HD 118904b,1687031031808427392,1687031134888475008,[Aladin Finding Chart],13 37 06.3494672280,71 14 09.027596652,8.0994,0.0866,7.9077,0.0541,7.961512542,0.04588266032,,,1,No,Yes,Yes,1.066,1.165,0.000595,Yes,
Kepler 779b,2105915343899024512,2105915343901864832,[Aladin Finding Chart],19 02 31.0600492896,44 18 42.356407254,4.0052,0.739,3.5131,0.0232,3.513584521,0.02318857584,0.688,1.956,,Yes,Yes,Yes,1.051,1.418,0.004,No,
WASP 56b,4001613818434055680,4001613814138156416,[Aladin Finding Chart],183.3669844,23.05531472,3.3755,0.3771,3.0471,0.0162,3.04770495,0.01618507201,,,0.2,No,Yes,Yes,0.915,6.038,0.000005,Yes,"INSANE flux leakage, there's barely even a WD there"
TOI 1259b,2294170834291960832,2294170838587572736,[Aladin Finding Chart],18 48 26.5244719752,79 15 33.840830916,8.3867,0.2208,8.4088,0.0113,8.408742268,0.01128523086,0.587,,12,Yes,Yes,Yes,0.993,1.149,0.000002,No,Probably not...
 TOI 3984b,1291955574574621056,1291955578869575552,[Aladin Finding Chart],15 05 20.9010597863,36 47 15.603915033,9.0569,0.2022,9.1843,0.0191,9.18317328,0.01901535267,,,2.6,No,Yes,Yes,1.023,1.376,4.34E-08,No,
CD-24 6144b&c,5602379190880667904,5602386058511578368,[Aladin Finding Chart],07 53 56.6185035783,-25 24 01.480019904,56.1226,0.0361,56.2356,0.0127,56.22315495,0.01198025976,0.494,,,Yes,Yes,Yes,0.995,1.219,0.0955,Yes,"Crowded field, possibly no?"
HD 8535b ,4984244267802428032,4984244302162168704,[Aladin Finding Chart],01 23 36.4142303808,-41 16 15.467403792,18.0847,0.0607,18.0657,0.0181,18.06725145,0.01734528305,,,,No,Yes,Yes,1.077,1.438,2.87E-08,Yes,Wicked flux leakage
WASP 129b,5380888380237386880,5380888758195682944,[Aladin Finding Chart],176.2981199,-42.06494404,2.9369,0.4558,3.1735,0.0159,3.173212438,0.01589033467,,,,No,Yes,Yes,0.941,4.223,0.000331,Yes,WD not in SIMBAD
HD 147513b,6018034958869558912,6018047019138644480,[Aladin Finding Chart],16 23 33.8380498896,-39 13 46.161043572,77.4545,0.0433,77.5655,0.0661,77.48782951,0.03622049915,0.641,1.084,1,Yes,Yes,Yes,0.947,1.147,0.02714,Yes,Maybe no?
HD 140901b&c,6009537829925128064,6009538585839374336,[Aladin Finding Chart],15 47 30.0209908033,-37 55 08.460010675,65.6891,0.0257,65.5889,0.0342,65.65293803,0.02054557307,0.607,,5.4,Yes,Yes,Yes,1.016,1.15,0.000012,Yes,Bruh
BD-00 4534b&c,2645940445519931520,2645940376800212096,[Aladin Finding Chart],23 35 48.8237504630,00 26 39.189372166,15.8594,0.1107,15.9696,0.0244,15.96449421,0.02382804536,0.328,,,Yes,Yes,Yes,1.071,1.215,9.29E-10,Yes,
TOI 3714b,178924390476838784,178924390478792320,[Aladin Finding Chart],04 38 12.7579608204,39 27 29.153396312,8.847,0.2265,8.8385,0.0219,8.838578728,0.02179834381,,,,No,Yes,Yes,1.04,2.031,0.000006,Yes,Almost no info on SIMBAD for the WD
HAT-P 18b,1334573817793501696,1334573817793362560,[Aladin Finding Chart],17 05 23.1265581641,33 00 42.278654227,6.4227,0.2978,6.1863,0.0093,6.186530325,0.009295468396,,,,No,Yes,Yes,1.345,6.557,0.000018,Yes,MS shows emission
HD 109271b&c,3578137911427752704,3578137842709899648,[Aladin Finding Chart],12 33 35.1833954911,-11 37 18.977329375,17.675,0.1009,17.9082,0.0379,17.87936601,0.03547964529,,,,No,Yes,Yes,1.43,2.314,2.22E-08,Yes,
HD 107148b,3693358792919145600,3693358861640279296,[Aladin Finding Chart],12 19 13.7135545224,-03 19 46.028488764,20.3268,0.0858,20.248,0.0283,20.25573169,0.02687579552,0.668,3.128,3.1,Yes,Yes,Yes,0.953,1.197,0.000022,No,Edge case
WASP 98b,4859136199796614784,4859136199796131200,[Aladin Finding Chart],03 53 42.2216667792,-34 19 50.218665780 ,3.1954,0.3573,3.5717,0.0119,3.571283053,0.01189340547,0.509,,,Yes,Yes,No,1.024,1.204,0.000387,No,NED discovery: 2014MNRAS.440.1982H
HD 109988b,6160221736672454400,6160221740968692992,[Aladin Finding Chart],12 39 14.7033388152,-32 43 49.023530076 ,23.3713,0.0625,23.425,0.0205,23.41978391,0.01947894917,0.621,,,Yes,Yes,No,1.027,1.151,0.000018,No,NED discovery: 2022ApJS..262...21F
