,angDist,col1,source_id,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_params_solved,ruwe,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,l,b,ecl_lon,ecl_lat,pairdistance,sep_AU,Sigma18,R_chance_align,meanAV,minAV,maxAV,flag_ext,objid,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,flags_,flags_u,flags_g,flags_r,flags_i,flags_z,angular_distance_,source_id_xmatch_,original_ext_source_id_xmatch_,obj_id,g_mean_psf_mag,r_mean_psf_mag,i_mean_psf_mag,z_mean_psf_mag,y_mean_psf_mag,g_mean_psf_mag_error,r_mean_psf_mag_error,i_mean_psf_mag_error,z_mean_psf_mag_error,y_mean_psf_mag_error,g_flags_,r_flags_,i_flags_,z_flags_,y_flags,obj_info_flag,quality_flag,angular_distance_pstarr,source_id_xmatch_pstarr,original_ext_source_id_xmatch_pstarr,object_id,u_psf,v_psf,g_psf,r_psf,i_psf,z_psf,e_u_psf,e_v_psf,e_g_psf,e_r_psf,e_i_psf,e_z_psf,u_flags,v_flags,g_flags_smap,r_flags_smap,i_flags_smap,z_flags_smap,u_nimaflags,v_nimaflags,g_nimaflags,r_nimaflags,i_nimaflags,z_nimaflags,flags_smap,nimaflags,flags_psf,angular_distance,source_id_xmatch,original_ext_source_id_xmatch,wtd_par,e_wtd_par,ra_ext,dec_ext,ext,ext_min,ext_max,teff_H,logg_H,Teff,e_Teff_lower,e_Teff_upper,Logg,e_Logg_lower,e_Logg_upper,Mass,e_Mass_lower,e_Mass_upper,cool_age,e_cool_age_lower,e_cool_age_upper,Chi2,redone_fit,init_mass_error_lower,init_mass,init_mass_error_upper,mslife_error_lower,mslife,mslife_error_upper,tot_age_error_lower,tot_age,tot_age_error_upper,ifmr_flag,spectype,spec_source,model_used,ms_source_id,ms_bp_rp,ms_phot_g_mean_mag,ms_source_id.1,ms_ra,ms_dec,ms_source_id.2,ms_ra.1,ms_dec.1,_RAJ2000,_DEJ2000,ObsID,Target,PlanId,RAJ2000,DEJ2000,snru,snrg,snrr,snri,snrz,z.1,magType,mag1,mag2,mag3,mag4,mag5,mag6,mag7,Teff.1,logg,[Fe/H],RV
0,0.291676,9073,582150381380638080,2016.0,131.0194456725918,0.1067058220505714,4.257687832828539,0.0696115866303443,2.160543636658484,0.1321439296007156,16.34992790222168,18.892641067504883,-11.1771367600926,0.1358193755149841,-15.23166034891826,0.1070927381515502,31.0,0.9407207369804382,False,409.0,1291.4841234548392,1.4265795946121216,905.3011474609376,17.909645080566406,44.0,1057.5840650774194,7.76175594329834,136.25576782226562,17.777755737304688,42.0,436.5348817394312,10.58779239654541,41.230018615722656,18.14784812927246,0.0,1.0,0.0,0.0,0.0,1.1569007635116575,-0.3700923919677734,-0.1318893432617187,-0.2382030487060547,222.520540060832,26.91772254663476,132.27784482751375,-13.366153511679356,0.0021746334081696,3316.36876023159,691.3690727911934,0.0001862987546405,0.0900000035762786,0.0900000035762786,0.0900000035762786,0.0,1.23765842354117e+18,17.51606,17.67201,18.14289,18.47173,18.87074,0.01116082,0.005811024,0.008989158,0.01334369,0.05928804,35253360136720.0,268599312.0,268599312.0,4503599895973904.0,268468752.0,402685968.0,0.037770364,5.821503813806381e+17,1.23765842354117e+18,1.1310131019458973e+17,17.763599395752,18.1007995605469,18.4606990814209,18.7446994781494,18.9109001159668,0.0172959994524717,0.0088759995996952,0.0070429998449981,0.0110790003091097,0.0217160005122423,115000.0,115000.0,115000.0,115000.0,115000.0,436527104.0,52.0,0.035885584,5.821503813806381e+17,1.1310131019458973e+17,77663354,17.4151,17.5079,17.7685,18.0274,0.0,0.0,0.0247,0.088,0.0494,0.0232,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,0.107866734,5.821503813806381e+17,77663354,2.313792607034063,0.0201053712511463,131.0194456725918,4.257687832828539,0.06997,0.06814,0.07184,29881.07,7.719806,28105.14723196268,674.0940943954338,699.4262836811722,7.715252887288209,0.038,0.0381740021799341,0.5031499654140692,0.0197702777731594,0.0182573963518826,0.0100278949565995,0.0005225378367029,0.0004623757748383,3.235682506246507,0,0.1717660970734962,0.3065157724940858,0.15862203607196,205.6334407272705,318.9709048737405,1925.832140481809,205.63344072793444,318.9809327686972,1925.8321404818648,11,DA,GaiaXP,H,582150385675717248,0.97814846,13.822274,582150385675717248,131.01869757224213,4.259730493488661,582150385675717248,131.01869757224213,4.259730493488661,131.0187428,4.2597978,313904128,J084404.49+041535.2,HD084534N043951V01,131.0187428,4.2597978,2.26,19.92,49.97,45.41,42.4,0.0001364944,gri,14.34,13.8,13.63,,,,,5408.53,4.669,-0.1,40.92
1,0.788312,9119,584900504773984256,2016.0,133.6944366584438,0.3183986246585846,8.29159909177695,0.1751944571733474,2.6299972073138425,0.4628117382526397,5.682650566101074,49.348907470703125,-49.33858914331532,0.4603294432163238,-1.0090595558305444,0.2763644158840179,31.0,0.9976407885551452,False,637.0,208.79006549264184,0.6087166666984558,343.0003967285156,19.888092041015625,66.0,146.1224465548513,7.60939884185791,19.202890396118164,19.92675018310547,65.0,105.27502704778584,7.504773139953613,14.027742385864258,19.692081451416016,0.0,0.0,0.0,1.0,0.0,1.2040681838989258,0.2346687316894531,0.0386581420898437,0.1960105895996093,219.8393158019888,31.14246687919952,133.76156013782366,-8.759590526908841,0.0033966480542069,4051.998022108509,607.3352628386726,0.0046654009174304,0.1000000014901161,0.0900000035762786,0.1199999973177909,0.0,1.2376610681673482e+18,20.01382,22.86012,22.625,22.81888,20.36151,0.06218195,0.1697431,0.1908709,0.3370761,0.1573117,7.209288175911331e+16,276987928.0,8.10658930731254e+16,1.3511898796789784e+16,8.106589320839171e+16,275280957464.0,0.10859452,5.849005047739843e+17,1.2376610681673482e+18,1.1795133694575043e+17,19.762300491333,19.8048992156982,19.9549007415771,19.9897003173828,0.0,0.0212239995598793,0.0152270002290607,0.0369989983737469,0.0685029998421669,0.0,115000.0,115000.0,115000.0,16892216.0,114720.0,436527104.0,52.0,0.1308715,5.849005047739843e+17,1.1795133694575043e+17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.9712200571781167,0.0215220993118344,133.6944366584438,8.29159909177695,0.07967,0.0702,0.09087,9437.685,7.685069,10178.72226992406,518.6661155222682,596.5324619645598,7.9531334170819,0.1193552446136543,0.115137516509356,0.5732386760373127,0.0670696702425631,0.0697091970978521,0.56773883459399,0.0110317895540211,0.0112288720956182,4.571629900577804,1,0.5827078213949879,0.9154533104892504,1.3431012107335132,14.537698226612289,15.571672794557006,173.38896097110128,14.537702412294276,16.139411629150995,173.3889613346987,11,0.0,0.0,H,584900504774444928,0.75079536,11.630631,584900504774444928,133.69492891911844,8.288237554196154,584900504774444928,133.69492891911844,8.288237554196154,133.69515,8.288247,555409022,J085446.83+081717.6,HD085216N080346V01,133.69515,8.288247,39.2,154.12,313.81,370.06,276.1,-2.72522e-05,gri,12.0,11.64,11.49,,,,,5929.89,4.181,-0.356,-8.17
3,0.162993,9239,593918802224747776,2016.0,140.6190065541889,0.2109542787075042,12.19052867927695,0.1706887334585189,2.9457045897949,0.2508313059806824,11.743767738342283,9.034942626953123,-8.019201883433958,0.2606512308120727,4.162042324062162,0.2034035474061966,31.0,1.032793045043945,False,275.0,484.2413362724732,1.1522234678268433,420.266845703125,18.97471237182617,30.0,366.08477866911176,9.754530906677246,37.52971649169922,18.929588317871094,30.0,180.56519122646205,9.38332748413086,19.243194580078125,19.10630989074707,0.0,0.0,0.0,1.0,0.0,1.128879189491272,-0.1767215728759765,-0.0451240539550781,-0.1315975189208984,219.208372976533,38.97499441608728,139.16329771957135,-3.035214098822694,0.0144874482181286,17946.617970232655,500.0648311947352,0.0186591087042385,0.0799999982118606,0.0700000002980232,0.0900000035762786,0.0,1.2376712606649551e+18,19.11891,18.82802,19.21988,19.52933,20.29183,0.02153227,0.008757518,0.01272441,0.01798046,0.1009748,35255507619856.0,268468240.0,268468240.0,4503599895838736.0,268468240.0,402821136.0,0.043570146,5.939188022247478e+17,1.2376712606649551e+18,1.2262140619027912e+17,18.8460998535156,19.0923004150391,19.3696002960205,19.6084003448486,19.7880992889404,0.0053550000302493,0.0097939996048808,0.0115000000223517,0.0518589988350868,0.0483869984745979,115000.0,115000.0,115000.0,115000.0,115000.0,436527104.0,52.0,0.025004726,5.939188022247478e+17,1.2262140619027912e+17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.862245261316117,0.0201065837995246,140.6190065541889,12.19052867927695,0.06602,0.06293,0.06928,17080.23,8.115017,16496.745725802735,472.8063197530301,530.3227294896642,8.061015948985732,0.038,0.0386399775752597,0.6515391744191562,0.0262116761050069,0.0239557226579009,0.1652466126660144,0.0061219522826001,0.0060565798203595,4.77865532290964,1,0.4992168748425081,2.403314050235544,0.3308249515879078,0.2694739928178705,0.8692227333538236,0.5901501760723631,0.2695435235819183,1.0344693460198382,0.5901812539189647,0,DA,MWDD,H,593915842991753088,0.60267544,11.226004,593915842991753088,140.62799774372104,12.179011473537306,593915842991753088,140.62799774372104,12.179011473537306,140.6280403,12.1789936,531910099,J092230.72+121044.3,HD093120N125131V02,140.6280403,12.1789936,72.38,213.55,274.1,314.55,217.95,-2.2015e-06,gri,11.46,11.22,11.17,,,,,6559.47,4.208,-0.129,-0.66
4,0.904916,9239,593918802224747776,2016.0,140.6190065541889,0.2109542787075042,12.19052867927695,0.1706887334585189,2.9457045897949,0.2508313059806824,11.743767738342283,9.034942626953123,-8.019201883433958,0.2606512308120727,4.162042324062162,0.2034035474061966,31.0,1.032793045043945,False,275.0,484.2413362724732,1.1522234678268433,420.266845703125,18.97471237182617,30.0,366.08477866911176,9.754530906677246,37.52971649169922,18.929588317871094,30.0,180.56519122646205,9.38332748413086,19.243194580078125,19.10630989074707,0.0,0.0,0.0,1.0,0.0,1.128879189491272,-0.1767215728759765,-0.0451240539550781,-0.1315975189208984,219.208372976533,38.97499441608728,139.16329771957135,-3.035214098822694,0.0144874482181286,17946.617970232655,500.0648311947352,0.0186591087042385,0.0799999982118606,0.0700000002980232,0.0900000035762786,0.0,1.2376712606649551e+18,19.11891,18.82802,19.21988,19.52933,20.29183,0.02153227,0.008757518,0.01272441,0.01798046,0.1009748,35255507619856.0,268468240.0,268468240.0,4503599895838736.0,268468240.0,402821136.0,0.043570146,5.939188022247478e+17,1.2376712606649551e+18,1.2262140619027912e+17,18.8460998535156,19.0923004150391,19.3696002960205,19.6084003448486,19.7880992889404,0.0053550000302493,0.0097939996048808,0.0115000000223517,0.0518589988350868,0.0483869984745979,115000.0,115000.0,115000.0,115000.0,115000.0,436527104.0,52.0,0.025004726,5.939188022247478e+17,1.2262140619027912e+17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.862245261316117,0.0201065837995246,140.6190065541889,12.19052867927695,0.06602,0.06293,0.06928,17080.23,8.115017,16496.745725802735,472.8063197530301,530.3227294896642,8.061015948985732,0.038,0.0386399775752597,0.6515391744191562,0.0262116761050069,0.0239557226579009,0.1652466126660144,0.0061219522826001,0.0060565798203595,4.77865532290964,1,0.4992168748425081,2.403314050235544,0.3308249515879078,0.2694739928178705,0.8692227333538236,0.5901501760723631,0.2695435235819183,1.0344693460198382,0.5901812539189647,0,DA,MWDD,H,593915842991753088,0.60267544,11.226004,593915842991753088,140.62799774372104,12.179011473537306,593915842991753088,140.62799774372104,12.179011473537306,140.6282541,12.1789917,270810099,J092230.78+121044.3,HD093120N125131V01,140.6282541,12.1789917,105.67,350.29,478.6,577.1,405.98,-1.1341e-06,ugrizFuvUv,14.5,11.88,11.35,14.19,13.39,20.82,15.12,6539.88,4.214,-0.12,-0.34
5,0.478139,9241,594439519764767232,2016.0,140.2767628749877,0.1420630812644958,14.12686922998688,0.1100664362311363,3.6928324100358,0.1787527054548263,20.65888977050781,27.64318084716797,-27.241711787889507,0.1847102046012878,-4.694096760169225,0.1346014738082885,31.0,0.9421836733818054,False,317.0,1006.636695730126,1.6591709852218628,606.7106323242188,18.180185317993164,33.0,773.4142242151859,10.345367431640623,74.75947570800781,18.11751174926757,31.0,360.2625892592534,12.634638786315918,28.51388168334961,18.356348037719727,0.0,1.0,0.0,2.0,0.0,1.1262025833129885,-0.2388362884521484,-0.0626735687255859,-0.1761627197265625,216.75466483840603,39.472531366199696,138.2511241876078,-1.294623977770676,0.0139442090369782,13841.896662850146,512.478916755903,0.0231377877393312,0.0599999986588954,0.0599999986588954,0.0599999986588954,0.0,1.2376709648486892e+18,17.8805,17.98912,18.33314,18.63876,18.91389,0.0119136,0.005898898,0.008000199,0.01130358,0.0451465,35255507615760.0,268599312.0,268468240.0,4503599895838736.0,268468240.0,402685968.0,0.026877794,5.944395197647672e+17,1.2376709648486892e+18,1.2495140276804272e+17,18.0529003143311,18.3624000549316,18.6847991943359,18.8939990997314,19.070499420166,0.0077010001987218,0.0048899999819696,0.0354290008544922,0.0059580001980066,0.0265009999275208,115000.0,115000.0,115000.0,115000.0,115000.0,436527104.0,52.0,0.026635664,5.944395197647672e+17,1.2495140276804272e+17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.5843663441044784,0.0175319004179494,140.2767628749877,14.12686922998688,0.05542,0.05372,0.05718,18579.28,8.028949,20445.48180126195,1000.2386911711146,1032.5891704336282,8.198739465844849,0.0556064068661612,0.043731736315367,0.7183761688831083,0.0359841056779076,0.0290051354962603,0.1008106745599093,0.0091045884368975,0.0071454151417424,1.8303769134063013,0,0.2594356532369599,3.06275837464795,0.1594591285878785,0.0599565731318655,0.4319497582610201,0.1244573034796306,0.0606439130690132,0.5327604328209294,0.1246622530959902,0,DBA,MWDD,mixed,594439627139102720,1.2316408,13.474557,594439627139102720,140.29018245514703,14.131877946904648,594439627139102720,140.29018245514703,14.131877946904648,140.290318,14.131897,209401051,J092109.67+140754.8,HD092246N154635V01,140.290318,14.131897,4.91,42.96,66.33,45.91,44.6,0.0001194827,gri,14.22,13.44,13.1,,,,,4802.07,4.7,-0.002,35.82
6,0.758778,9248,59506604382920576,2016.0,48.72384715944544,0.6849119067192078,19.726817313132127,0.5651657581329346,7.817361623668966,0.7453529834747314,10.488133430480955,49.40046691894531,42.03071492458851,0.8584337830543518,-25.958144817798622,0.7195069193840027,95.0,0.898883581161499,False,183.0,125.08670782248662,1.010547161102295,123.78116607666016,20.444339752197266,18.0,64.89465024000687,9.122840881347656,7.113425731658936,20.808019638061523,16.0,108.80152563301203,11.465755462646484,9.489258766174316,19.656307220458984,0.0,1.0,0.0,1.0,0.0,1.3886061906814575,1.151712417602539,0.3636798858642578,0.7880325317382812,163.32079608817503,-31.669090939511666,51.59458397839976,1.6206848965853249,0.0089038714884852,3893.77085516498,640.1211811156031,0.0603553567931107,0.0700000002980232,0.0599999986588954,0.0900000035762786,0.0,1.237673285735154e+18,25.1392,21.25107,20.41983,20.06987,19.98862,0.9930111,0.03963235,0.03352116,0.03679925,0.1077336,68987912448.0,9007199397347584.0,275146342400.0,4503874773712896.0,275146375168.0,275280592896.0,0.033056486,5.950660438292058e+16,1.237673285735154e+18,1.316704872374628e+17,21.0193004608154,20.3899002075195,20.1117992401123,19.9528007507324,19.9349994659424,0.0608589984476566,0.018223000690341,0.0139459995552897,0.0201980005949736,0.0836519971489906,115000.0,115000.0,115000.0,115000.0,115000.0,436527104.0,52.0,0.07299241,5.950660438292058e+16,1.316704872374628e+17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.187437801778723,0.0151085567475468,48.72384715944544,19.726817313132127,0.09105,0.07062,0.12403,4797.597,7.832083,4768.400031651627,81.71420814547218,81.1985827685794,7.856685618776831,0.064912032370354,0.0665288001315387,0.494472260634771,0.0357389615074461,0.0383105351753104,5.379127689965548,0.4576178975665677,0.4164209481631271,2.014773028803972,0,0.3105035752167339,0.2311230289728157,0.3328456574744608,814.0612630827195,885.9282710722287,,814.0613917057932,891.3073987621942,999.0,11,0.0,0.0,H,59506604383523584,1.819025,13.513301,59506604383523584,48.73289505302219,19.729413960031376,59506604383523584,48.73289505302219,19.729413960031376,48.732711,19.729534,384407248,J031455.85+194346.3,EG031039N215333V01,48.732711,19.729534,0.57,25.82,84.75,134.34,111.28,5.1002e-05,gri,14.89,13.63,12.91,,,,,3865.51,4.785,-0.464,15.29
7,1.14033,9252,595291194601172864,2016.0,131.49564744572197,0.3915752172470093,7.360661763008935,0.2411466240882873,5.67311709462915,0.471292495727539,12.037359237670898,69.00749969482422,-6.9315918443921625,0.5392823219299316,-68.65848593575272,0.4749269187450409,31.0,0.976395547389984,False,462.0,186.2780158441581,0.6842268705368042,272.2459716796875,20.011962890625,46.0,97.40734814662036,6.245387554168701,15.596686363220217,20.367063522338867,45.0,101.20101963303064,9.017675399780272,11.222517013549805,19.73493385314941,0.0,2.0,0.0,1.0,0.0,1.0661932229995728,0.6321296691894531,0.3551006317138672,0.2770290374755859,219.6613226399037,28.778618009149845,131.89440396842434,-10.249744574711311,0.002499339109058,1587.9946942428437,644.8958294083599,1.432254771466148e-06,0.0299999993294477,0.0199999995529651,0.0299999993294477,0.0,1.2376610649452055e+18,21.06209,22.45892,19.98993,19.87131,20.10891,0.0773903,0.1095129,0.02020079,0.02392258,0.1045161,193514315845976.0,275146375192.0,158330077483032.0,4503599904620824.0,268865560.0,275281530904.0,0.05357172,5.952911946011729e+17,1.2376610649452055e+18,1.1683131495557336e+17,20.1296997070313,19.964599609375,19.7607002258301,19.7581996917725,0.0,0.0265449993312359,0.170564994215965,0.0443420000374317,0.0459510013461113,0.0,115000.0,115000.0,115000.0,16892216.0,114720.0,436527104.0,52.0,0.14447911,5.952911946011729e+17,1.1683131495557336e+17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.648113628356101,0.0147637569602372,131.49564744572197,7.360661763008935,0.03687,0.03436,0.03993,6287.949,7.944197,6265.665656082141,105.31912007793562,112.71866582698205,7.869565448434309,0.0575488632200782,0.0582170301461388,0.5140676417696078,0.0316626789967826,0.0331843595325922,1.7237355489242834,0.0610259012002725,0.0694285261952292,5.748206129597339,0,0.2750884361145315,0.4013696070339523,0.2883089446793416,115.27149814398103,155.9688140826411,2335.1248949827063,115.27151429784568,157.69254963156538,2335.12489601484,11,0.0,0.0,H,595291095815513472,1.2384787,12.486895,595291095815513472,131.49426061115432,7.358574912516326,595291095815513472,131.49426061115432,7.358574912516326,131.494302,7.358889,555410208,J084558.63+072132.0,HD085216N080346V01,131.494302,7.358889,4.23,43.07,74.05,92.95,66.5,-4.17956e-05,gri,13.33,12.4,12.1,,,,,4681.91,4.614,0.106,-12.53
8,0.094037,9323,600507861880087936,2016.0,124.69453647351487,0.347161203622818,9.979007374739227,0.2464113682508468,2.9776468075902915,0.4299129545688629,6.926162242889404,33.203887939453125,-20.49581488516233,0.5146836638450623,26.123165230385204,0.322495549917221,31.0,1.0959869623184204,False,228.0,348.87219806736573,1.189724683761597,293.2377624511719,19.33070182800293,26.0,255.37339863485667,17.011966705322266,15.011397361755373,19.320602416992188,25.0,146.8422445757369,8.626293182373047,17.02263641357422,19.33076858520508,0.0,3.0,0.0,2.0,0.0,1.1529024839401243,-0.0101661682128906,-0.0100994110107421,-6.67572021484375e-05,213.73452613303365,23.8928082025946,124.6248013239833,-9.387784043289008,0.0021883269078223,2242.7291157870254,764.8986564996491,0.00272379877101,0.0700000002980232,0.0599999986588954,0.0700000002980232,0.0,1.237670964841808e+18,19.75901,19.31636,19.26157,19.42148,19.77012,0.03409013,0.01095015,0.0125154,0.01796219,0.08992979,35253393686544.0,275179929616.0,302022672.0,4503599937781776.0,302022672.0,275314147344.0,0.060806334,6.00507861880088e+17,1.237670964841808e+18,1.1997124694535512e+17,19.2003993988037,19.2406997680664,19.3230991363525,19.5137996673584,19.2437992095947,0.0175899993628263,0.0387150011956692,0.0147550003603101,0.0286839995533228,0.0589490011334419,115000.0,16892216.0,16892216.0,16892216.0,16892216.0,444915712.0,53.0,0.106877565,6.00507861880088e+17,1.1997124694535512e+17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.468213527720729,0.0180575791405449,124.69453647351487,9.979007374739227,0.04715,0.0438,0.05103,12291.45,7.985287,9677.187605938456,226.94888740862189,240.17211934072293,7.710142414047504,0.0576054008002486,0.0570430932497805,0.4444300296541387,0.0274591400959842,0.0283113348426216,0.4823043857013276,0.0055678755935789,0.005742317703342,6.217958866498399,1,0.2385676811119392,-0.2036487432307661,0.245971631994975,,,,,,999.0,11,0.0,0.0,H,600507861876961152,1.05373,13.207568,600507861876961152,124.69237351493652,9.97850651257655,600507861876961152,124.69237351493652,9.97850651257655,124.6924,9.9785079,215613094,J081846.17+095842.6,GAC122N09V1,124.6924,9.9785079,8.68,63.41,84.15,60.58,50.44,0.0001537063,ugrijhk,,0.0,13.08,12.85,11.89,11.45,11.37,5269.97,4.628,-0.178,46.08
11,1.179691,9475,611167150367477888,2016.0,135.38984060328207,0.0690045580267906,16.961662127665445,0.0576288364827632,5.345094864788502,0.0874413251876831,61.12778854370117,76.83682250976562,-76.83149192140178,0.0873758345842361,-0.9050011388644637,0.0745566561818122,31.0,1.0059705972671509,False,283.0,3022.53725674153,3.1150693893432617,970.2953491210938,16.98643684387207,34.0,2350.907134316303,15.747411727905272,149.28848266601562,16.91045379638672,31.0,1069.5338992256577,9.296841621398926,115.04271697998048,17.174909591674805,0.0,1.0,0.0,1.0,0.0,1.1316455602645874,-0.2644557952880859,-0.0759830474853515,-0.1884727478027343,211.14914552341992,36.21340018234852,132.91668733690386,0.0263503584606839,0.0053332541262746,3585.0622453235874,506.43102891841096,5.920653701068709e-07,0.0299999993294477,0.0299999993294477,0.0299999993294477,0.0,1.237667538001068e+18,16.82177,16.79221,17.16585,17.46014,17.77329,0.007727956,0.004294642,0.005413786,0.00635504,0.01828123,35219035000920.0,302022680.0,302022680.0,4503599929528344.0,303071256.0,275179929624.0,0.07039599,6.111671503674779e+17,1.237667538001068e+18,1.2835135389969453e+17,16.8267993927002,17.1746997833252,17.4662990570068,17.7341995239258,17.8633995056152,0.0031810000073164,0.004761999938637,0.0074860001914203,0.0052829999476671,0.0232519991695881,115000.0,115000.0,115000.0,115000.0,115000.0,436527104.0,52.0,0.007475136,6.111671503674779e+17,1.2835135389969453e+17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.320828240150902,0.0148603175467627,135.38984060328207,16.961662127665445,0.03871,0.03823,0.0392,20085.5,7.877737,20341.62878694054,433.2981356083546,451.0209346616284,7.891170207675374,0.038,0.038,0.5655815405853589,0.0231902512340402,0.0186011115759228,0.0458973818280541,0.0021826511595892,0.0020469439682655,2.2712876386647087,0,0.2014791592879258,0.8489273725921715,0.161608267384212,9.166675510895734,20.18407840933196,29.56741283551677,9.166675770748176,20.22997579116001,29.56741290637145,11,DA,MWDD,H,611167253447201280,0.8805876,11.6032715,611167253447201280,135.3953760551866,16.961021759044502,611167253447201280,135.3953760551866,16.961021759044502,135.3957181,16.9610403,416912061,J090134.97+165739.7,KP085714N151921V01,135.3957181,16.9610403,13.89,96.45,148.86,205.04,164.95,0.0001823928,gri,12.07,11.58,11.42,,,,,5566.31,4.591,-0.123,54.68
12,1.179691,9475,611167150367477888,2016.0,135.38984060328207,0.0690045580267906,16.961662127665445,0.0576288364827632,5.345094864788502,0.0874413251876831,61.12778854370117,76.83682250976562,-76.83149192140178,0.0873758345842361,-0.9050011388644637,0.0745566561818122,31.0,1.0059705972671509,False,283.0,3022.53725674153,3.1150693893432617,970.2953491210938,16.98643684387207,34.0,2350.907134316303,15.747411727905272,149.28848266601562,16.91045379638672,31.0,1069.5338992256577,9.296841621398926,115.04271697998048,17.174909591674805,0.0,1.0,0.0,1.0,0.0,1.1316455602645874,-0.2644557952880859,-0.0759830474853515,-0.1884727478027343,211.14914552341992,36.21340018234852,132.91668733690386,0.0263503584606839,0.0053332541262746,3585.0622453235874,506.43102891841096,5.920653701068709e-07,0.0299999993294477,0.0299999993294477,0.0299999993294477,0.0,1.237667538001068e+18,16.82177,16.79221,17.16585,17.46014,17.77329,0.007727956,0.004294642,0.005413786,0.00635504,0.01828123,35219035000920.0,302022680.0,302022680.0,4503599929528344.0,303071256.0,275179929624.0,0.07039599,6.111671503674779e+17,1.237667538001068e+18,1.2835135389969453e+17,16.8267993927002,17.1746997833252,17.4662990570068,17.7341995239258,17.8633995056152,0.0031810000073164,0.004761999938637,0.0074860001914203,0.0052829999476671,0.0232519991695881,115000.0,115000.0,115000.0,115000.0,115000.0,436527104.0,52.0,0.007475136,6.111671503674779e+17,1.2835135389969453e+17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.320828240150902,0.0148603175467627,135.38984060328207,16.961662127665445,0.03871,0.03823,0.0392,20085.5,7.877737,20341.62878694054,433.2981356083546,451.0209346616284,7.891170207675374,0.038,0.038,0.5655815405853589,0.0231902512340402,0.0186011115759228,0.0458973818280541,0.0021826511595892,0.0020469439682655,2.2712876386647087,0,0.2014791592879258,0.8489273725921715,0.161608267384212,9.166675510895734,20.18407840933196,29.56741283551677,9.166675770748176,20.22997579116001,29.56741290637145,11,DA,MWDD,H,611167253447201280,0.8805876,11.6032715,611167253447201280,135.3953760551866,16.961021759044502,611167253447201280,135.3953760551866,16.961021759044502,135.3957181,16.9610403,554410067,J090134.97+165739.7,HD090902N172810V01,135.3957181,16.9610403,29.72,136.51,229.01,300.04,226.95,0.00017829,gri,12.07,11.58,11.42,,,,,5551.65,4.591,-0.173,53.45
