ObsID,e_fe_h
8210078,0.181
15202088,0.132
27712143,0.027
27915042,0.105
33101090,0.073
37715181,0.106
38415031,0.019
41906063,0.084
42209001,0.152
42706012,0.128
46405057,0.017
49312112,0.013
51007238,0.079
56212225,0.072
56215020,0.019
56613212,0.014
58401192,0.072
58901157,0.023
67303101,0.049
67306019,0.071
73406169,0.073
74209217,0.019
74408048,0.05
74408235,0.061
75504119,0.036
82002232,0.01
83401122,0.03
83502164,0.05
87708165,0.011
89116144,0.024
90611158,0.141
92604016,0.007
93607227,0.036
93803085,0.1
94404154,0.021
99212199,0.029
101003228,0.135
101110085,0.081
101801219,0.012
105707199,0.2
108513214,0.13
109505171,0.018
116509118,0.116
121415086,0.108
123216204,0.098
123514184,0.009
124608114,0.017
125910066,0.013
128009165,0.027
130001141,0.041
131415086,0.072
135716243,0.102
139915040,0.02
142809227,0.39
143707009,0.024
145415082,0.074
146204208,0.132
148216070,0.134
148604132,0.032
148616075,0.121
149806152,0.051
150016174,0.03
151316075,0.2
151507150,0.221
151602080,0.095
151812008,0.05
152207092,0.178
154702013,0.043
155909034,0.101
156812034,0.015
157801232,0.007
158715101,0.014
160104015,0.033
160912227,0.011
163205063,0.029
164309014,0.036
164815158,0.006
165113139,0.027
165407010,0.01
165601022,0.028
167501247,0.014
168404083,0.044
169114116,0.093
170202180,0.023
171111149,0.011
172607090,0.047
173109103,0.01
173115171,0.135
176602013,0.033
177405106,0.096
177907196,0.014
178112137,0.021
178113225,0.03
178414120,0.04
185003070,0.036
186313116,0.01
190110034,0.021
190703090,0.028
191205193,0.027
191212088,0.076
191216056,0.053
192106229,0.036
194010125,0.095
195607016,0.015
196101245,0.03
196316146,0.022
196515129,0.018
197008126,0.012
197804035,0.023
199502113,0.012
199705018,0.014
199714108,0.06
201815029,0.037
205313191,0.059
205316083,0.028
206816099,0.038
206903003,0.017
207109205,0.009
208905190,0.055
209401051,0.068
209503201,0.326
209515139,0.041
209702233,0.038
209712070,0.103
210207082,0.055
210314007,0.039
211916095,0.131
212408231,0.048
212615104,0.12
212904191,0.179
214806028,0.107
214914028,0.06
215514015,0.116
215613094,0.045
215710121,0.014
217908234,0.066
220201019,0.291
221410021,0.027
221508248,0.023
223616150,0.057
224608184,0.053
226906040,0.013
227515025,0.088
227515134,0.047
227703129,0.017
228412119,0.022
228510070,0.021
228513166,0.009
228516192,0.101
231801175,0.017
231902064,0.042
232615225,0.07
234606249,0.035
234903129,0.014
236312113,0.097
236603176,0.047
237602103,0.046
238113153,0.021
239101158,0.083
247916246,0.097
248711181,0.047
251014235,0.057
253308149,0.091
253615042,0.043
254914088,0.116
255709088,0.034
256809172,0.041
257403076,0.173
257410197,0.21
257816145,0.118
258403174,0.012
259109167,0.054
259402091,0.043
259601190,0.075
260005179,0.042
260216136,0.06
260402174,0.054
260806044,0.032
263802124,0.078
264604193,0.01
265404028,0.084
265416144,0.072
266305242,0.088
266310043,0.047
267206179,0.02
267901083,0.015
267903118,0.02
267905220,0.04
268708133,0.02
268709088,0.017
269106124,0.046
269107101,0.059
269716239,0.087
270810099,0.009
274001056,0.024
275604067,0.026
278111144,0.042
279913173,0.037
283205226,0.079
286308106,0.059
290211222,0.094
291210161,0.043
293203199,0.016
294003026,0.028
294210109,0.024
295107218,0.012
296414218,0.023
297004148,0.03
297309113,0.027
297315109,0.023
297404172,0.089
298203150,0.064
298414117,0.064
299111078,0.012
299305032,0.056
301501225,0.015
301912054,0.065
308608015,0.086
313004061,0.032
313008117,0.033
313904128,0.121
314004023,0.02
315006032,0.015
315709117,0.027
321608169,0.033
321706167,0.115
327509206,0.13
328515096,0.096
331607239,0.072
332606250,0.014
332705200,0.035
332806058,0.042
333210174,0.085
333310050,0.149
333405190,0.062
334213134,0.1
334812150,0.02
335515213,0.125
336212103,0.27
337315134,0.194
337614189,0.057
339315057,0.029
339414163,0.026
340209244,0.017
350011171,0.062
350311121,0.015
353807094,0.074
354711249,0.138
359805040,0.032
359808208,0.045
361402111,0.011
361803100,0.023
362003068,0.017
362303183,0.024
364715066,0.061
365808105,0.075
