"ms_source_id","wd_source_id","ms_teff","ms_p_rot","wd_teff","wd_logg","wd_total_age","wd_spectral_type"
"18493721155296640","18493721155296768","3316","64.7","$13230_{-200}^{+200}$","$8.09_{-0.04}^{+0.04}$","$1.09_{-0.12}^{+0.18}$","DA (1)"
"28185744355533824","28185744355056128","3371","116.3","$ 9120_{-520}^{+60}$","$8.47_{-0.28}^{+0.26}$","$2.01_{-0.25}^{+0.41}$","---"
"52639226555782656","52639153540042496","3921","31.9","$ 6590_{-250}^{+230}$","$8.28_{-0.08}^{+0.08}$","$3.73_{-0.20}^{+0.28}$","---"
"77783305135054720","77782544925602432","3249","68.2","$ 6270_{- 90}^{+ 80}$","$8.16_{-0.04}^{+0.04}$","$3.49_{-0.20}^{+0.25}$","---"
"85649623637225856","85649413183595392","3129","41.4","$ 6480_{-140}^{+130}$","$8.25_{-0.05}^{+0.05}$","$3.70_{-0.14}^{+0.19}$","DA (2)"
"115344202888681216","115344095513403520","3558","64.2","$ 6220_{-110}^{+110}$","$8.31_{-0.04}^{+0.04}$","$4.49_{-0.10}^{+0.11}$","DA (2)"
"166587938734739456","166587938734739328","3225","29.6","$ 9130_{-170}^{+170}$","$8.25_{-0.04}^{+0.04}$","$1.52_{-0.05}^{+0.05}$","DA (2)"
"181306276262296192","181306168886213120","3761","10.2","$ 7180_{-380}^{+350}$","$8.23_{-0.11}^{+0.11}$","$2.63_{-0.31}^{+0.36}$","---"
"192005963220544768","192005967510846848","3287","137.2","$11830_{-630}^{+520}$","$8.16_{-0.06}^{+0.06}$","$0.99_{-0.10}^{+0.21}$","DA (2)"
"196589900204859392","196589861548739584","4060","20.8","$ 6720_{-220}^{+200}$","$8.34_{-0.07}^{+0.07}$","$3.88_{-0.14}^{+0.20}$","---"
"267776887192982784","267777604451603328","3429","29.2","$ 7220_{-170}^{+160}$","$8.50_{-0.05}^{+0.04}$","$3.95_{-0.05}^{+0.07}$","DA: (2)"
"268123027195914368","268123332136902016","3128","200.0","$ 9180_{-270}^{+260}$","$8.36_{-0.05}^{+0.05}$","$1.57_{-0.06}^{+0.08}$","DQ: (2)"
"271639471546035584","271639432884899712","3446","55.8","$ 6770_{-260}^{+240}$","$8.28_{-0.08}^{+0.08}$","$3.47_{-0.19}^{+0.27}$","---"
"293717390146554624","293717454571113984","4058","169.2","$ 7810_{-320}^{+280}$","$8.21_{-0.09}^{+0.08}$","$2.06_{-0.14}^{+0.24}$","---"
"348345663302119936","348345659004467840","3223","144.9","$ 6640_{-120}^{+120}$","$8.22_{-0.04}^{+0.04}$","$3.27_{-0.16}^{+0.17}$","DA (2)"
"374254624016996352","374254619721557504","4269","12.8","$ 9860_{-240}^{+250}$","$8.50_{-0.04}^{+0.05}$","$1.41_{-0.12}^{+0.33}$","DC (2)"
"377335386879208704","377335451303175808","3955","32.6","$ 5970_{- 90}^{+ 90}$","$8.20_{-0.04}^{+0.04}$","$4.26_{-0.19}^{+0.23}$","---"
"390689402277884544","390689397980291072","3532","89.1","$ 7140_{-150}^{+150}$","$8.28_{-0.04}^{+0.04}$","$2.94_{-0.13}^{+0.13}$","DA: (2)"
"395377200164554368","395377513698597888","3142","14.5","$ 6000_{- 90}^{+ 90}$","$8.33_{-0.04}^{+0.04}$","$5.09_{-0.07}^{+0.08}$","DA (2)"
"395932320399086464","395932247377032320","4308","12.0","$11250_{-680}^{+560}$","$8.20_{-0.08}^{+0.09}$","$1.03_{-0.10}^{+0.20}$","---"
"411948871922982528","411951822555835648","3598","15.6","$ 8300_{-350}^{+330}$","$8.33_{-0.08}^{+0.08}$","$2.07_{-0.17}^{+0.13}$","DA: (2)"
"420483143738322304","420483139441443200","3474","10.4","$ 8790_{-520}^{+460}$","$8.23_{-0.12}^{+0.12}$","$1.62_{-0.12}^{+0.35}$","---"
"506944889856368256","506944889847883008","3671","40.8","$ 6820_{-260}^{+230}$","$8.18_{-0.08}^{+0.08}$","$2.80_{-0.28}^{+0.45}$","---"
"544555471783803136","544555467486553984","4079","10.5","$ 7670_{-280}^{+260}$","$8.24_{-0.08}^{+0.08}$","$2.21_{-0.17}^{+0.16}$","---"
"545940409758573824","545940164944375296","3512","40.4","$ 7360_{-140}^{+140}$","$8.23_{-0.04}^{+0.04}$","$2.44_{-0.11}^{+0.11}$","DA: (2)"
"546388323308593280","546388319012071040","3263","19.5","$ 6260_{- 90}^{+ 90}$","$8.22_{-0.04}^{+0.04}$","$3.85_{-0.18}^{+0.20}$","---"
"549835601498785536","549788563014393728","3521","39.3","$ 6270_{-120}^{+110}$","$8.20_{-0.05}^{+0.05}$","$3.73_{-0.20}^{+0.24}$","DA (2)"
"564321564114510080","564509271364217344","3425","93.2","$ 8480_{-250}^{+240}$","$8.30_{-0.06}^{+0.06}$","$1.85_{-0.09}^{+0.08}$","DA (2)"
"569795207875481344","569795203578976128","3383","72.9","$ 5470_{- 70}^{+ 70}$","$8.14_{-0.04}^{+0.04}$","$5.45_{-0.18}^{+0.31}$","---"
