N,Poisson_lower_lim,Poisson_upper_lim,e_Poisson_lower,e_Poisson_upper,e_sqrt,percent_diff_lower,percent_diff_upper
0,0,1.841,0,1.841,0,0,0
1,0.173,3.3,0.827,2.3,1,-17.3,130
2,0.708,4.638,1.292,2.638,1.414213562,-8.641803871,86.53476888
3,1.367,5.918,1.633,2.918,1.732050808,-5.718701041,68.47080855
4,2.086,7.163,1.914,3.163,2,-4.3,58.15
5,2.84,8.382,2.16,3.382,2.236067977,-3.401863372,51.247638
6,3.62,9.584,2.38,3.584,2.449489743,-2.83690687,46.3161873
7,4.419,10.77,2.581,3.77,2.645751311,-2.447369516,42.49260632
8,5.232,11.95,2.768,3.95,2.828427125,-2.136421484,39.65358928
9,6.057,13.11,2.943,4.11,3,-1.9,37
10,6.891,14.27,3.109,4.27,3.16227766,-1.684787545,35.02925609
11,7.734,15.42,3.266,4.42,3.31662479,-1.526394861,33.2680143
12,8.585,16.56,3.415,4.56,3.464101615,-1.417441536,31.63586138
13,9.441,17.7,3.559,4.7,3.605551275,-1.291100082,30.35454611
14,10.3,18.83,3.7,4.83,3.741657387,-1.113340492,29.08717984
15,11.17,19.96,3.83,4.96,3.872983346,-1.109825227,28.06664931
16,12.04,21.08,3.96,5.08,4,-1,27
17,12.92,22.2,4.08,5.2,4.123105626,-1.045464985,26.11852502
18,13.8,23.32,4.2,5.32,4.242640687,-1.005050634,25.39360253
19,14.68,24.44,4.32,5.44,4.358898944,-0.892402968,24.80215923
20,15.57,25.55,4.43,5.55,4.472135955,-0.942188597,24.10177275
21,16.45,26.66,4.55,5.66,4.582575695,-0.710859943,23.51132587
22,17.35,27.76,4.65,5.76,4.69041576,-0.861666895,22.80361262
23,18.24,28.87,4.76,5.87,4.795831523,-0.747138909,22.39796105
24,19.14,29.97,4.86,5.97,4.898979486,-0.795665417,21.8621147
25,20.03,31.07,4.97,6.07,5,-0.6,21.4
26,20.93,32.16,5.07,6.16,5.099019514,-0.569119485,20.80753925
27,21.84,33.26,5.16,6.26,5.196152423,-0.695753699,20.47375617
28,22.74,34.35,5.26,6.35,5.291502622,-0.595343599,20.00372018
29,23.65,35.45,5.35,6.45,5.385164807,-0.652994075,19.77349312
30,24.55,36.54,5.45,6.54,5.477225575,-0.49706872,19.40351754
31,25.46,37.63,5.54,6.63,5.567764363,-0.498662677,19.07831524
32,26.37,38.72,5.63,6.72,5.656854249,-0.474720548,18.79393924
33,27.28,39.8,5.72,6.8,5.744562647,-0.427580793,18.37280605
34,28.2,40.89,5.8,6.89,5.830951895,-0.530820617,18.16252516
35,29.11,41.97,5.89,6.97,5.916079783,-0.440828793,17.81450311
36,30.03,43.06,5.97,7.06,6,-0.5,17.66666667
37,30.94,44.14,6.06,7.14,6.08276253,-0.374213693,17.38087694
38,31.86,45.22,6.14,7.22,6.164414003,-0.396047426,17.12386606
39,32.78,46.3,6.22,7.3,6.244997998,-0.400288333,16.89355228
40,33.7,47.38,6.3,7.38,6.32455532,-0.388253705,16.68804566
41,34.62,48.46,6.38,7.46,6.403124237,-0.361139915,16.50562637
42,35.55,49.53,6.45,7.53,6.480740698,-0.474339274,16.19042252
43,36.47,50.61,6.53,7.61,6.557438524,-0.418433573,16.05141202
44,37.39,51.68,6.61,7.68,6.633249581,-0.350500617,15.78035632
45,38.32,52.76,6.68,7.76,6.708203932,-0.420439402,15.67925004
46,39.24,53.83,6.76,7.83,6.782329983,-0.329237639,15.44705167
47,40.17,54.9,6.83,7.9,6.8556546,-0.374210807,15.23334328
48,41.1,55.98,6.9,7.98,6.92820323,-0.407078565,15.1813787
49,42.02,57.05,6.98,8.05,7,-0.285714286,15
50,42.95,58.12,7.05,8.12,7.071067812,-0.297943853,14.83414126
60,52.28,68.79,7.72,8.79,7.745966692,-0.335228558,13.47841204
70,61.65,79.41,8.35,9.41,8.366600265,-0.198411121,12.47101214
80,71.07,89.98,8.93,9.98,8.94427191,-0.159564805,11.57979208
90,80.53,100.5,9.47,10.5,9.486832981,-0.177435194,10.67971811
100,90.02,111,9.98,11,10,-0.2,10
