,source_id,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_params_solved,ruwe,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,l,b,ecl_lon,ecl_lat,pairdistance,sep_AU,Sigma18,R_chance_align,meanAV,minAV,maxAV,flag_ext,objid,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,flags_,flags_u,flags_g,flags_r,flags_i,flags_z,angular_distance_,source_id_xmatch_,original_ext_source_id_xmatch_,obj_id,g_mean_psf_mag,r_mean_psf_mag,i_mean_psf_mag,z_mean_psf_mag,y_mean_psf_mag,g_mean_psf_mag_error,r_mean_psf_mag_error,i_mean_psf_mag_error,z_mean_psf_mag_error,y_mean_psf_mag_error,g_flags_,r_flags_,i_flags_,z_flags_,y_flags,obj_info_flag,quality_flag,angular_distance_pstarr,source_id_xmatch_pstarr,original_ext_source_id_xmatch_pstarr,object_id,u_psf,v_psf,g_psf,r_psf,i_psf,z_psf,e_u_psf,e_v_psf,e_g_psf,e_r_psf,e_i_psf,e_z_psf,u_flags,v_flags,g_flags_smap,r_flags_smap,i_flags_smap,z_flags_smap,u_nimaflags,v_nimaflags,g_nimaflags,r_nimaflags,i_nimaflags,z_nimaflags,flags_smap,nimaflags,flags_psf,angular_distance,source_id_xmatch,original_ext_source_id_xmatch,wtd_par,e_wtd_par,ra_ext,dec_ext,ext,ext_min,ext_max,teff_H,logg_H,Teff,e_Teff_lower,e_Teff_upper,Logg,e_Logg_lower,e_Logg_upper,Mass,e_Mass_lower,e_Mass_upper,cool_age,e_cool_age_lower,e_cool_age_upper,Chi2,redone_fit,init_mass_error_lower,init_mass,init_mass_error_upper,mslife_error_lower,mslife,mslife_error_upper,tot_age_error_lower,tot_age,tot_age_error_upper,ifmr_flag,spectype,spec_source,model_used,ms_source_id,ms_bp_rp,ms_phot_g_mean_mag
25,1150037970940129152,2016.0,94.629461240319,0.0580757968127727,84.6298072348357,0.061131477355957,6.596588702867055,0.0681064575910568,96.85702514648438,120.54093170166016,56.11815819376718,0.086023211479187,-106.68115381128828,0.0786864385008812,31.0,0.9886801838874816,True,470.0,1690.8683522975105,1.8667552471160889,905.7793579101562,17.61709213256836,47.0,1189.039536831524,13.31993007659912,89.2677001953125,17.650550842285156,48.0,693.0308022940959,8.16959285736084,84.83052062988281,17.646013259887695,0.0,47.0,0.0,48.0,0.0,1.1130791902542114,0.0045375823974609,0.0334587097167968,-0.0289211273193359,128.85908778541503,26.2353270657143,90.89856962398608,61.2049704734952,0.0022233758914326,1213.3776364863966,755.6676698003191,1.4512083429516064e-08,0.0299999993294477,0.0299999993294477,0.0299999993294477,0.0,1.2376715677460073e+18,17.97568,17.5937,17.76299,17.88639,18.09539,0.01596529,0.005208249,0.006391123,0.008696809,0.0274512,193583034531856.0,275146375184.0,268468240.0,4503599895838736.0,268468240.0,158604820906000.0,0.025742741,1.1500379709401292e+18,1.2376715677460073e+18,2.095509462854368e+17,17.5890998840332,17.7189998626709,17.9293003082275,18.1588001251221,18.2504997253418,0.0036420000251382,0.0064199999906122,0.0061320001259446,0.011034999974072,0.0185860004276037,115000.0,115000.0,115000.0,115000.0,115000.0,436527232.0,52.0,0.23599753,1.1500379709401292e+18,2.095509462854368e+17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.545543650258346,0.0633833821300664,94.629461240319,84.6298072348357,0.03818,0.03785,0.03851,12145.61,8.009283,11642.333269265491,220.06866349183656,242.5131376735208,7.941263140716845,0.038,0.038,0.5706937296281185,0.0243873287600572,0.0196205188684935,0.3932150027620616,0.0080255889934279,0.0062123790986595,2.837190231524988,0,0.2118794853176125,0.8933425684458601,0.1704649771372161,7.799034555282992,16.981785613494715,25.4377281131776,7.799038684644208,17.375000616256777,25.43772887176841,11,DA,GaiaXP,H,1150037966645470976,3.2474575,19.091911
27,1158162532939474304,2016.0,224.3521435152756,0.1670798063278198,4.69908437040998,0.1542120724916458,5.544535106676125,0.2095711380243301,26.456579208374023,116.08023071289062,-103.19727766043393,0.1832252591848373,-53.15017647391288,0.1673658937215805,31.0,0.91299307346344,False,170.0,799.9940902676849,1.96177351474762,407.791259765625,18.429649353027344,17.0,561.657565526458,16.248159408569336,34.56745910644531,18.464862823486328,18.0,353.1241997855898,6.088167667388916,58.0017204284668,18.378076553344727,0.0,1.0,0.0,1.0,0.0,1.14348566532135,0.0867862701416015,0.0352134704589843,0.0515727996826171,1.788583762638681,52.53297870917936,220.4057302368768,20.628082369197035,0.0012079077945354,784.2800120593787,477.7831391618698,7.700096292463049e-08,0.050000000745058,0.050000000745058,0.050000000745058,0.0,1.2376548812779686e+18,18.92752,18.41038,18.54664,18.67428,18.93556,0.01928717,0.007010105,0.008381423,0.01153372,0.04065868,35253360136208.0,268599312.0,268603408.0,4503599895838736.0,268468240.0,275146510352.0,0.078798234,1.1581625329394744e+18,1.2376548812779686e+18,1.1363224352327944e+17,18.4221992492676,18.5191993713379,18.6511001586914,18.8150997161865,18.9090003967285,0.0052209999412298,0.0064860000275075,0.006180000025779,0.0107159996405244,0.0192910004407167,115000.0,115000.0,115000.0,115000.0,115000.0,436527104.0,52.0,0.2395526,1.1581625329394744e+18,1.1363224352327944e+17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.502831385232562,0.1577458868131548,224.3521435152756,4.69908437040998,0.07467,0.0731,0.07628,11025.68,8.141523,10539.66223626883,282.81362125607666,298.03227812262594,8.043911336469048,0.0535337777455904,0.0503183114812113,0.627482022096418,0.0324465757030896,0.0315091865911622,0.5854495473448793,0.0083142858309518,0.0082464172444567,2.3592840613223856,0,0.8550293857887554,1.963945058233834,0.5594339828997872,0.6144699593052518,1.3705220880919078,6.557859019807487,0.6145262063065143,1.955971635436787,6.557864204683395,0,DA,GaiaXP,H,1158162537234779520,3.1074448,18.4859
54,1360721127719613184,2016.0,261.3742079933301,0.140444129705429,43.91033430238616,0.1252394020557403,4.037059908211229,0.1421340256929397,28.40319061279297,46.706790924072266,9.867863374743791,0.1905634254217147,45.65248834679883,0.182612657546997,31.0,0.9723201990127563,False,352.0,556.4252828434749,1.4527064561843872,383.0266418457031,18.823850631713867,33.0,405.4196149650316,10.625499725341797,38.15534591674805,18.81878089904785,33.0,226.0462040732619,7.532515525817871,30.00939178466797,18.86240196228028,0.0,1.0,0.0,2.0,0.0,1.1348618268966677,-0.0436210632324218,-0.0050697326660156,-0.0385513305664062,69.48010907583786,33.440841366795745,254.032847162888,66.87212890066833,0.0026856895168154,2394.9315790113096,702.509918807626,4.540901462660094e-06,0.0700000002980232,0.0599999986588954,0.0700000002980232,0.0,1.237668735215993e+18,19.23029,18.77068,18.90863,19.09336,19.23014,0.02370253,0.00848644,0.009988572,0.01345544,0.04227603,69055021128.0,275213484104.0,335577160.0,4503599962947656.0,335577160.0,275356090440.0,0.056017853,1.3607211277196132e+18,1.237668735215993e+18,1.6069261374174298e+17,18.8155994415283,18.9104995727539,19.1021995544434,19.320499420166,19.3342990875244,0.0101749999448657,0.0122330002486706,0.0074530001729726,0.0110839996486902,0.100404001772404,115000.0,115000.0,115000.0,115000.0,115000.0,436527232.0,52.0,0.12584187,1.3607211277196132e+18,1.6069261374174298e+17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.05186277400184,0.1031105599238609,261.3742079933301,43.91033430238616,0.0587,0.05749,0.05997,13391.11,8.184236,11344.200338874884,337.195498195706,377.6880641023454,7.993860638625601,0.0524840318606161,0.0502634229589018,0.6002303467148903,0.0312771671899602,0.0304655894112352,0.4520740226899974,0.0104819292853274,0.0091883222661886,2.2504789937925,0,0.314080410569179,1.192300910351369,0.8431138054735015,4.818404913268123,6.191176559888195,11.873443324993769,4.818416314417832,6.643250582578192,11.873446880207329,1,DA,GaiaXP,H,1360721127719612800,2.6975384,18.90494
60,1374545562292690304,2016.0,233.7148688876256,0.1488279700279235,35.93061299713649,0.1934061050415039,3.062859897781074,0.220824733376503,13.870094299316406,32.09867858886719,-31.495708312624085,0.1809937357902526,6.192375399016495,0.2897507846355438,31.0,1.0255403518676758,False,492.0,343.750027027581,1.0012085437774658,343.3350830078125,19.34675979614257,52.0,239.03064204787577,5.906571865081787,40.46858978271485,19.39240837097168,53.0,148.65871996930963,4.772376537322998,31.14982986450196,19.317419052124023,0.0,1.0,0.0,1.0,0.0,1.1278234720230105,0.0749893188476562,0.0456485748291015,0.0293407440185546,57.57429576559541,54.355211052823485,217.3285164920795,52.9409793869955,0.0029700150793153,3490.8727928696085,429.4000364619336,0.0011116036190782,0.0700000002980232,0.0599999986588954,0.0700000002980232,0.0,1.2376623367891845e+18,19.71564,19.31629,19.36728,19.51908,19.76192,0.03191575,0.01062456,0.01321206,0.01862389,0.08763406,68987912704.0,275163152384.0,285245440.0,4503599920971776.0,275163152384.0,275297370624.0,0.037014354,1.3745455622926904e+18,1.2376623367891845e+18,1.5111233714927738e+17,19.3206005096436,19.4517993927002,19.6243991851807,19.8153991699219,19.7808990478516,0.0159200001507998,0.0130089996382594,0.0175599996000528,0.0237399991601706,0.0473159998655319,115000.0,115000.0,115000.0,115000.0,115000.0,436527104.0,52.0,0.071298786,1.3745455622926904e+18,1.5111233714927738e+17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.2099508710526004,0.1657277480537226,233.7148688876256,35.93061299713649,0.05117,0.04962,0.05285,11134.83,7.892103,10839.412466337852,514.6676404003174,556.5483162702767,7.917198115508581,0.0938599778322624,0.0863844805494569,0.5549507608724016,0.0520516521841126,0.0510417304897592,0.4606637748413109,0.014163670625216,0.0119614589666058,1.893138904150456,0,0.4522298191495451,0.7565661240000141,0.5127579096241435,24.855524891443423,29.865296457916795,301.77358651314154,24.855528926955653,30.325960232758103,301.7735867502009,11,DA,GaiaXP,H,1374545356134257408,2.9452934,19.464558
61,1378669521170866688,2016.0,243.26009386664816,0.0988028421998024,37.33581625863541,0.1156165897846221,4.955392996454915,0.1300297826528549,38.109676361083984,56.40237045288086,-43.5018305802345,0.1305783092975616,35.900111828535344,0.1630863696336746,31.0,1.033502221107483,False,480.0,617.0352856577323,1.0386613607406616,594.0678100585938,18.71159172058105,52.0,414.3920314626114,6.760311126708984,61.29777526855469,18.79501342773437,51.0,266.6989048782906,6.983190059661865,38.19155883789063,18.682842254638672,0.0,0.0,0.0,2.0,0.0,1.1038119792938232,0.1121711730957031,0.0834217071533203,0.0287494659423828,59.67264177087504,46.68545648357404,228.9093618373253,57.02282634777129,0.0007671387541258,557.3119058021848,537.3070878782387,6.87140114572027e-06,0.0399999991059303,0.0399999991059303,0.0399999991059303,0.0,1.2376591542162555e+18,19.1934,18.69046,18.80298,18.95141,19.20299,0.02393233,0.00770635,0.01031646,0.01509603,0.0658109,35253360001040.0,268468240.0,268468240.0,4503599895838736.0,268468240.0,402685968.0,0.011524313,1.3786695211708667e+18,1.2376591542162555e+18,1.5280243260164352e+17,18.6986999511719,18.7884998321533,18.9316997528076,19.0890007019043,19.206600189209,0.011230000294745,0.0059940000064671,0.0076199998147785,0.0121769998222589,0.0606859996914864,115000.0,115000.0,115000.0,115000.0,115000.0,436527104.0,52.0,0.1291027,1.3786695211708667e+18,1.5280243260164352e+17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.865558296743721,0.1244315060921815,243.26009386664816,37.33581625863541,0.0427,0.04215,0.04326,10445.16,8.07217,10344.578675750126,268.8426908618076,275.962409936983,8.035030682822324,0.0550157581081842,0.0503881519977831,0.6216455532151126,0.03309391410809,0.0315182954006386,0.6070449038551933,0.0078158817796439,0.0082089503885246,2.036399205000379,0,0.6683162580458346,1.7168100817384722,0.7135368170261076,1.0551457749360298,1.8977935016602347,7.773027916530798,1.055174722201659,2.504838405515428,7.773032251189596,0,DA,MWDD,H,1378669521172309760,2.2796192,20.298866
74,144454731010594560,2016.0,66.89609892803351,0.1934672594070434,20.73929072770206,0.1151403561234474,5.223411281786949,0.2141226381063461,24.39448356628418,38.71728515625,-19.123893416244083,0.2668740153312683,-33.66459373249153,0.2040633261203766,31.0,1.0157461166381836,False,390.0,596.6175373285683,1.0679466724395752,558.6585693359375,18.74812698364257,44.0,400.605040026442,8.443948745727539,47.44285583496094,18.831750869750977,42.0,302.83646600566686,11.190961837768556,27.06080818176269,18.54487419128418,0.0,1.0,0.0,1.0,0.0,1.179049372673035,0.2868766784667969,0.0836238861083984,0.2032527923583984,176.1647094967779,-19.10634824370729,68.46760039766986,-0.989538579324658,0.0009334385902894,643.3303340977577,796.4113352318443,6.461533287085512e-05,0.7300000190734863,0.7200000286102295,0.7599999904632568,0.0,1.2376640875325688e+18,19.4481,18.84538,18.80829,18.89901,19.046,0.02501323,0.008746545,0.009941919,0.01266429,0.04290117,35253360132112.0,275280723984.0,268599312.0,4503599895805968.0,268435472.0,402685968.0,0.03521888,1.4445473101059456e+17,1.2376640875325688e+18,1.3288066896117776e+17,18.8230991363525,18.8013000488281,18.862699508667,19.0256004333496,19.0326995849609,0.0066269999369978,0.0050369999371469,0.0074289999902248,0.0376759991049767,0.0187359992414713,115000.0,115000.0,115000.0,115000.0,115000.0,436527104.0,52.0,0.07754346,1.4445473101059456e+17,1.3288066896117776e+17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.181374850735518,0.1694721825746456,66.89609892803351,20.73929072770206,0.61454,0.57145,0.66318,14547.21,8.226109,11516.493792564332,484.7249029704835,572.7869303845891,8.01193200267961,0.0678895704291075,0.0636550107938624,0.6111189932885533,0.0405814493925746,0.0396350826726448,0.4444620277223039,0.0197257054865612,0.0154051948076929,2.212501898265533,0,0.4721291766354925,1.3641147882426052,1.0260871509078653,3.0623628919715555,3.944530687283198,13.134421484733966,3.062426421251837,4.388992715005502,13.134430519008742,1,DA,GaiaXP,H,144454731012095872,2.8977604,19.10553
77,1481957265526519936,2016.0,211.62866537250832,0.0310846306383609,34.644776050830934,0.0509039498865604,8.062237248974109,0.0731281414628028,110.24807739257812,86.14765930175781,-81.09744064472041,0.0311856176704168,-29.062414104277902,0.0695331469178199,31.0,1.0279221534729004,False,763.0,2751.373451424564,1.8790831565856927,1464.2105712890625,17.08849334716797,85.0,1983.6673512593536,8.05643367767334,246.2215270996093,17.09486961364746,82.0,1132.9288345226848,8.303245544433594,136.444091796875,17.112388610839844,0.0,85.0,0.0,82.0,0.0,1.132741928100586,-0.0175189971923828,0.0063762664794921,-0.023895263671875,62.59514159735858,72.2641927246136,193.61785288375708,43.883111644745576,0.0056376423615807,2517.354907196908,363.50989002188896,2.312748784223999e-05,0.0299999993294477,0.0299999993294477,0.0299999993294477,0.0,1.2376646732586025e+18,17.53422,16.98426,17.18902,17.39821,17.64444,0.009765527,0.004444632,0.00509386,0.00615842,0.01723485,158398662447616.0,158604820910080.0,268468224.0,4503599895838720.0,268468736.0,275146375168.0,0.10101588,1.4819572655265198e+18,1.2376646732586025e+18,1.495721162887044e+17,16.9979991912842,17.2019996643066,17.4200992584229,17.6445007324219,17.7457008361816,0.0045719998888671,0.0039809998124837,0.0025780000723898,0.0039670001715421,0.010945999994874,115000.0,115000.0,115000.0,115000.0,115000.0,436527104.0,52.0,0.13318327,1.48195726552652e+18,1.495721162887044e+17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.019631338412102,0.0659241565518898,211.62866537250832,34.644776050830934,0.02661,0.02649,0.02673,12143.32,7.942781,11875.542413582769,200.191507384694,217.35428227757257,7.907741678121496,0.038,0.038,0.5528260690590212,0.0234551711300684,0.019215008189592,0.3554395467144958,0.0069546496682401,0.0070364422130122,3.1291037944461606,0,0.2037808091230967,0.738106594778638,0.1669418609000181,16.323815343582346,32.52395437346962,49.03710531823387,16.323816825072697,32.879393920184114,49.03710582307116,11,DA,MWDD,H,1481957437325212544,3.4142551,18.338049
88,157303662547626240,2016.0,76.40260530021406,0.1548307389020919,31.567378856432075,0.0770249813795089,5.23707088394557,0.1686878949403762,31.04591941833496,141.76315307617188,62.97069882694,0.1822778284549713,-127.00976811346496,0.1276082098484039,31.0,1.0373605489730835,False,450.0,850.4397232711462,1.2985271215438845,654.9264526367188,18.363258361816406,51.0,607.4617625316446,9.82733154296875,61.8134994506836,18.37974548339844,50.0,466.435111470012,7.279330253601074,64.07665252685547,18.07591819763184,0.0,51.0,0.0,50.0,0.0,1.2627547979354858,0.3038272857666015,0.0164871215820312,0.2873401641845703,172.97862810636911,-5.689047313937125,78.30926354464802,8.678271906036608,0.0006139053509018,422.0029310700719,1143.68742105836,8.061257199533432e-10,0.2899999916553497,0.2399999946355819,0.3300000131130218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4588076402557155e+17,18.340799331665,18.3715991973877,18.5116996765137,18.5848007202148,18.6709995269775,0.0042200000025332,0.007672999985516,0.0167249999940395,0.0021929999347776,0.0419039987027645,115000.0,16892216.0,16892216.0,16892216.0,16892216.0,444915712.0,53.0,0.29754353,1.5730366254762624e+17,1.4588076402557155e+17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.115158387824626,0.1323660076717084,76.40260530021406,31.567378856432075,0.43201,0.37245,0.49361,8963.871,7.450189,10729.488476837108,547.4663238292451,692.058813868749,7.653012766852141,0.1004934323414135,0.1009430526069561,0.4222956939666299,0.0445796603517396,0.0493495504304489,0.3378434614779438,0.01865710891087,0.0134590329077581,2.323464279943834,0,0.3873124270350967,-0.3959540055027797,0.428753696181137,,,,,,999.0,11,DA,GaiaXP,H,157303658252781056,2.9861164,18.77112
100,165036111213672832,2016.0,65.60592785070531,0.2743673324584961,29.34142929851243,0.1542785614728927,4.25553716375772,0.313504546880722,13.574085235595703,28.12538719177246,4.0914174703664274,0.5030451416969299,-27.826204941199144,0.3262682557106018,31.0,0.937675416469574,False,240.0,526.568643760983,1.359970211982727,387.1913146972656,18.883729934692383,26.0,317.6562965177639,8.412158012390137,37.76156997680664,19.083648681640625,28.0,308.5943712704987,9.419553756713867,32.76103973388672,18.5244255065918,0.0,1.0,0.0,1.0,0.0,1.1893049478530884,0.5592231750488281,0.1999187469482422,0.3593044281005859,168.6480702252504,-14.252595103123523,68.69743536873536,7.68838339132068,0.0014969211566797,1266.3304200329358,881.4000748429164,9.3424692816345e-06,0.8299999833106995,0.8100000023841858,0.8399999737739563,0.0,1.2376605538399688e+18,19.70639,19.05233,18.92175,18.93887,18.97006,0.02882305,0.009406328,0.01042642,0.01311515,0.03751948,35253360001040.0,275280592912.0,268468240.0,4503599895838736.0,268468240.0,275146375184.0,0.029972302,1.6503611121367283e+17,1.2376605538399688e+18,1.4321065605915046e+17,18.9888000488281,18.9169006347656,18.9365997314453,18.972900390625,19.0547008514404,0.0142780002206564,0.0087179997935891,0.0051540001295507,0.0164299998432398,0.0391759984195232,115000.0,115000.0,115000.0,115000.0,115000.0,436527104.0,52.0,0.0054045944,1.6503611121367283e+17,1.4321065605915046e+17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.234289951573246,0.2303025783461558,65.60592785070531,29.34142929851243,0.77902,0.75592,0.79967,0.0,0.0,10445.110465845786,498.8781945695173,572.7506765623475,7.500750483832561,0.1027861414103252,0.1020013663239698,0.3588030653939859,0.0390522354560943,0.0429643532294727,0.3019124637701341,0.0118736447010515,0.0100582881961111,1.9636449049711733,0,0.3392896216863101,-0.947584140799426,0.373278481576653,,,,,,999.0,11,DA,GaiaXP,H,165036111213954048,3.7072773,18.91185
101,1662831566863371648,2016.0,204.3552247695143,0.1472550928592682,60.681744456203766,0.1437801718711853,3.8041888169317297,0.1688636541366577,22.52816772460937,25.22800064086914,14.869881656500358,0.1868532449007034,-20.37985802741169,0.1786491870880127,31.0,0.9676542282104492,False,405.0,471.7577838139749,1.0486629009246826,449.8659973144531,19.003068923950195,41.0,314.6011171825359,6.5675458908081055,47.90238571166992,19.094141006469727,39.0,195.71831268256244,8.048969268798828,24.31594657897949,19.01881599426269,0.0,2.0,0.0,0.0,0.0,1.081740379333496,0.0753250122070312,0.0910720825195312,-0.0157470703125,112.9979011977816,55.55078848960903,160.09117741261136,61.67723809823118,0.0007336876586938,694.3071699128097,399.7972170468411,1.456568728264157e-06,0.0399999991059303,0.0399999991059303,0.0399999991059303,0.0,1.2376554643096863e+18,19.46766,18.99866,19.07733,19.2557,19.69242,0.02569904,0.008936924,0.01132164,0.01636293,0.07790806,35253360132112.0,275146375184.0,268599312.0,4503599895838736.0,268468240.0,268468240.0,0.047725834,1.6628315668633718e+18,1.2376554643096863e+18,1.8081204355167888e+17,18.9720993041992,19.06130027771,19.2656993865967,0.0,19.7210006713867,0.0084779998287558,0.0082350000739097,0.0074640000239014,0.0,0.158673003315926,115000.0,16892216.0,115000.0,16416.0,20528.0,436527104.0,52.0,0.05574694,1.6628315668633715e+18,1.8081204355167888e+17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.836853902504248,0.1360474304838259,204.3552247695143,60.681744456203766,0.03136,0.03074,0.03201,10454.35,7.879252,11118.677825513323,423.7714890266361,465.08834968640986,8.035652495842088,0.0714672450781437,0.0696152270595789,0.6240710529623252,0.042912126020874,0.0435542563061738,0.5038133877392891,0.0115618607847702,0.0104378149227958,2.85522900489873,0,0.8290982916438548,1.8133635126816587,0.828317783970058,0.9775188990043312,1.6399497417199582,10.448153219806551,0.9775872720813452,2.143763129459247,10.44815843354868,1,DA,GaiaXP,H,1662831571155705344,3.3114166,19.227066
