,gaia_dr3_source_id
22,4586503628739277312
32,2158107129347694592
33,6702386144325312384
44,4483974792231866624
56,4273314166840237952
85,4484422808856341632
93,6734326583460686592
100,4273286679048255744
102,2160515953165916032
110,4523509278992412288
118,4284122782775063552
122,4585722773620345984
127,4284122709739805056
149,2108580555787991040
150,2108580658867207936
156,4484033921036658944
175,4270113424069773184
192,6433190582193235712
204,4525050347610878720
213,6703898045827901568
228,2095856148238624512
229,4536310033882496640
237,6704742986154046464
256,4272898585803853568
257,4153365419713623808
297,2157256622744808064
328,2111335107294795520
340,6704014040011490176
342,4257063458004688896
343,4257063453704172416
354,4509454050053734144
377,6726956453945890304
381,4484363400874781184
393,6723614557057843968
395,4536397101454578816
405,4257893554915974400
421,4283311510678734208
422,4524181626049824384
425,4284928514335243776
426,2160164143804513536
437,6436604157779581056
484,4477403148676643200
497,6432864302117736192
540,4478900202471373056
547,2296734929768068736
549,6635694961601162240
565,2294106890819234176
577,4093228116568874240
595,2157792531584733568
612,4091541259574942336
649,2111818759265059328
650,6650983391611213056
653,6703823553915615488
665,2145132892139909632
714,6723849062282999040
732,4282984302892895360
756,6433161479496767488
768,2259455030251418112
771,2259455025955617280
774,4106530489306653952
828,6723525938997800448
843,4535988216267824384
873,2110098053632614912
876,4091784698384482816
880,4273632200577129600
907,6436367865857982080
912,6415169311736708096
913,2096012038370988160
915,2096011969651506560
923,6655420161551244416
924,6655420165843004416
932,2120272899876707328
991,2117775359215048448
994,6709054304394627968
998,2110942860818007808
1006,4525708297956246272
1012,2265762928458412672
1038,2117801060298733440
1050,4538832725870839808
1068,6704076372871298816
1080,4272723763456415872
1096,4532255202500177152
1133,6360380479822695808
1149,4509225450416776704
1157,2094877170572984704
1172,4511540098488317312
1179,2110965774466388864
1187,4103883793033807744
1194,4258524090487402624
1201,4283721800317089920
1218,2094752723894997888
1228,2110776658467416704
1235,4252765840714356992
1239,4072870005988819712
1256,6733676291063499776
1265,4587723335033411072
1279,4280032943098880768
1283,6704174499987876096
1301,6655404287348972928
1321,4532719784822945792
1339,6632998336318282240
1366,6728769411167993856
1374,4092357436497142144
1381,2116814626571334400
1408,4535862085964779520
1433,4508928208618332032
1436,4285579395175853056
1437,2156588909949358592
1442,6708815538568649472
1450,4107012041007171456
1456,2116724500975907456
1465,6347142256742560896
1470,2268490365835767552
1499,4537453865275455488
1502,2144643167086760320
1528,4505387914314625920
1530,2098461441045173504
1535,6736439363769228672
1544,2144832180007434368
1604,4532416521465488512
1625,6736942837030008704
1626,6736942871389748224
1636,2096956862458096512
1651,6636215649075146240
1657,2097363475600038272
1658,2156334716603974528
1670,2267990642095302912
1673,6419774753628599424
1678,6431973766420678784
1684,6631606388959095168
1708,2253234852454880896
1723,4531563029874123904
1731,2104676155639113472
1740,4531564984072380288
1755,6419473143845481472
1761,6728864617706631040
1765,4285439237474075904
1769,6715223835935241472
1779,2253988636396656512
1795,4538304337520289664
1808,4252356105208887040
1812,4285452672132751232
1821,6730238805388214400
1825,4504577986571873280
1868,6728535386987393792
1887,4503856883056192768
1909,2259262581356603136
1913,2105234196444142208
1926,4079852007849614208
1939,2096635671922608768
1941,6650228409380791040
1942,6650228409376970880
1944,4252064631569619712
1957,4505464609555615616
1977,2098318989863211648
2020,6729474056386325760
2029,2097548365354832640
2040,2266134254153054464
2042,6761558119239570560
2047,6732205728600042368
2073,4085948284439758080
2074,4507505676792063104
2082,2093485468030125312
2088,6633233941046867200
2090,2253023260890436736
2104,6651753874386353536
2109,4099375451739916544
2112,6731816157889400576
2121,4510935053563756032
2199,4266304887652615424
2201,6711602701761713792
2214,4533233974004204032
2241,2293260747901303296
2274,2267826604410294656
2294,6433755941625698048
2328,4534657570987930112
2329,2267838943853424512
2330,4311973098757316608
2339,2092434163113040512
2380,6650583173679537152
2389,2144465183642117888
2409,6638242289523896576
2416,4253723691465354496
2417,4253723691465323648
2427,4099016770410419072
2442,4534691960780049024
2456,2090438412070596224
2464,4254151264048908800
2490,2093642900051190784
2518,4264942214777843712
2532,4084772288051037440
2536,2040611190802315264
2537,2040611122078297600
2546,4507541037258075776
2548,2153380230076376704
2573,6716988139778566016
2591,4268663511830737408
2599,4073522222505044224
2604,4281592183725180288
2605,6710800367510238720
2610,2041078345800350464
2625,6730874838503216000
2626,6730874838496952832
2630,2103614787618232192
2643,2134092390945830528
2672,4517146607064975232
2676,6660881332725538816
2677,2092852149329303168
2690,6636780901132343424
2691,4532937041451745920
2695,2255303549222862464
2715,6439867435272145536
2746,6732788847722142208
2753,4533139592112831616
2756,2155931298916630272
2760,6657855412300594688
2765,2153403903936616320
2787,2093759864900246912
2795,4313608145555096832
2798,2153523712049311232
2803,2262435046064003328
2810,6761790253626569472
2816,6638010636168379904
2817,6638009880254413696
2829,6730889922427739392
2831,6761847050275609088
2850,4507802613654081664
2863,2267604984097878784
2889,6438078358055259008
2909,6416877441709083776
2930,6662481710553213056
2934,4074564525152038144
2936,2099902424044964480
2947,6661254445122598400
2961,6632174084849850496
2964,6662149241432273920
2968,4101221119437998976
2977,2093033018993201920
2998,2153298518322999168
3005,6644218680682279168
3008,6433537207528739712
3022,2105963408877174528
3032,2104204778683022720
3047,6438081454732088832
3048,6438082206346099840
3055,6359337966704558208
3056,4514263348304945664
3067,6346924377346497664
3073,4082320445824432000
3115,4310991685885480064
3118,4081604968686574464
3119,2105537794798597120
3125,2153427951457223040
3161,6712119330493864064
3162,6435004230919027584
3165,6661288839222418048
3173,6718712968582097280
3180,6756796752844235776
3183,2092535726202900352
3205,4085489994240885632
3207,4085489994240873728
3213,2044464528082190848
3277,2092686565454710784
3299,4521387496437713536
3308,6756787643213918464
3322,2044471022073155200
3326,6661010422261368960
3341,4080612010906664960
3342,4080612010906664704
3367,4521148863743781248
3398,2044202539379338496
3414,2251878261265268096
3424,4517866516602288512
3425,4517866512297606528
3430,2255804887870032384
3472,4267611073087674752
3473,4267612546219850880
3490,4305456503800024320
3491,6421151209042040960
3518,4199160186394001536
3525,2043321624396787456
3535,2133770161022928384
3544,2252065826780777472
3556,4206232584471100672
3569,2099165746957427072
3577,4306387446545325184
3610,4206010350002500224
3618,2142952045186749312
3629,2039371010410209024
3644,6764010098866108160
3657,6435108856324799104
3694,2134291539989508096
3699,6759182482613554048
3704,6714149617368377728
3711,2037566810603341696
3713,2037566814905409024
3715,6419945079146391424
3718,6439752471882748288
3727,4204389876028437632
3734,4198204470273977216
3742,2132754628889037696
3815,6421165464038956672
3843,2255125217884609152
3847,2255125217884610816
3874,2132775584035117056
3876,2132775588334185856
3881,6714237062902167040
3922,2035812161843961088
3934,4513673043671887872
3962,2262736591422315392
3979,2099241956856104448
3993,6657296344997877632
4005,2023375963778106880
4027,2102057943576941824
4030,4320094439580536320
4041,4516523085199687040
4051,2099257423039264000
4058,6365555846693399168
4064,6365743515289965824
4076,2251989891760845312
4081,6712746881052199296
4100,6417016353831945216
4120,2103066848573842816
4132,4083701260633245952
4142,4293220962298749184
4143,2252619950579738880
4147,2036254375991082624
4179,4267947076977170688
4189,6658538204727579264
4205,2043211600224024704
4230,6438942990806462336
4231,4201009015202934272
4252,4320979683849182976
4254,2240355997881277312
4264,6712775532775517696
4270,2133253944611262848
4280,4261124916530391936
4287,4184136803093217280
4293,2143573131817151616
4304,6445023805504483968
4311,2023394556692123136
4334,2264255291858285056
4335,4084646458368123392
4351,4293643380924505856
4361,2039894717236055552
4440,6742431045006336000
4465,2038304789074991232
4473,6644940136405288320
4498,6663087335304919680
4500,2049199098172925568
4514,2040043258683083520
4522,2040046999600858240
4533,6745638908833655296
4545,6771076831905714048
4547,2261155180170338048
4555,4292394816752532864
4574,6765898780679869952
4598,6664760341029821568
4604,4201781696994073472
4620,2024074329781944576
4624,2024074157985907584
4627,2049359455068211200
4638,2051078743359361536
4652,4292152825426493824
4680,4308557985570166400
4681,4308557985605266048
4689,4263608816391834624
4699,4308538018272287104
4714,4207879309308402176
4727,2101074022401021312
4733,2022271027609714304
4758,4516741093427224704
4763,2239659521688967296
4765,4292836137550823552
4779,4083368757145007488
4782,2023958984116847360
4784,2261233730827816192
4787,2038532151773252096
4789,2141858207211539328
4800,2126215622788021504
4801,2264228628702690048
4836,2242073739985951232
4854,2022763711922380672
4857,2018818045723591680
4871,6420517443673120128
4886,2101929678671520640
4890,4315701821873535488
4891,4315701821885383808
4908,2140241890760529408
4920,6664785805888176768
4940,2052530343523612032
4945,6772846010534694144
4978,2045997384728056064
5034,2142413426223768704
5076,6772528904507582592
5084,6415593040326264192
5094,2052736600737294336
5096,6640032839914510848
5112,2136355185874468736
5129,4263472167695209984
5137,6445958935849551488
5142,4315852729862752768
5175,6415906469858810752
